volume	uid	cycle	title	version	incipit	link	link_uid	terminus_post_quem	terminus_ante_quem	dated	autographs	lifetime_publication	first_publication	bibliography	citation	comments	filename	n_lines	n_words
1	A10		<Анне Вульф>		«Увы, напрасно деве гордой…»			1825	1825	Предположительно 1825 г. на основании биографических данных.	Неизвестен.	нет	Ефремов П. А. Поправки и дополнения к некоторым стихотворениям Пушкина // БЗ. 1861. № 19 (под загл. «Из альбома А. Н. Вульф»); полностью: Ефр. 1903–05. Т. 8.	Анненков П. В. Пушкин в Александровскую эпоху. 1799–1826 гг. СПб., 1874. С. 279–281; Вересаев В. В. Спутники Пушкина. М., 1937. Т. 1. С. 373374; Гроссман Л. П. Письма женщин к Пушкину. Л., 1928. С. 35–37; Губер П. К. Донжуанский список Пушкина. Пг., 1923. С. 189–206; Кибальник С. А. Об автобиографизме пушкинской лирики михайловского периода // Врем. ПК 25. С. 107–114; Старк В. П. Портреты и лица. СПб., 1995. С. 216.	АПСС. Т. 3, кн. 1. С. 105.		A10.txt	8	37
1	A11		Анчар		«В пустыне чахлой и скупой…»			1828	1828	Концом августа — 9 ноября 1828 г. на основании пометы в автографе ПД 102.	В тетр. ПД 838, л. 21 об. — 22, 23 об. (черновой); ПД 102, л. 1–2 (беловой, с поправками); ПД 420, л. 89–90 об. (писарская копия, с датой рукой Пушкина).	да	СЦ на 1832 г.	Белецкий А. И. Из наблюдений над стихотворными текстами А. С. Пушкина «Анчар» // Белецкий А. И. Избр. труды по теории литературы. М., 1964. С. 403–421; Березкина С. В. Стихотворение Пушкина «Анчар» // РЛ. 1997. № 4. С. 67–80; Благой Д. Д. «Анчар» Пушкина // Академику Виктору Владимировичу Виноградову к его шестидесятилетию: Сб. статей. М., 1956. С. 94–116; Боголюбова В. Г. Еще раз об источниках «Анчара» // ПИМ. Т. 2. С. 310–323; Виноградов В. В. О стиле Пушкина // ЛН. М., 1934. Т. 16–18. С. 143–148; Измайлов Н. В. Из истории пушкинского текста «Анчар, древо яда» // ПиС. Вып. 31–32. С. 3–14; Лесной Я. Откуда Пушкин заимствовал образ анчара? // В мастерской природы. 1919. № 4. С. 35–37; Новов С. А древо жизни вечно зеленеет… // Литературная учеба. 1985. № 1. С. 180–186; Саводник В. Ф. О происхождении «Анчара» // РА. 1904. № 10. С. 151–153; Сумцов Н. Ф. Исследования о Пушкине. Харьков, 1900. С. 185–191; Турбин В. Н. Пушкин. Гоголь. Лермонтов. М., 1978. С. 38–51; Штейн С. В. Пушкин и Кольридж: (К вопросу о происхождении стихотворения «Анчар») // Звено (Париж). 1926. № 193, 10 октября; Яковлев Н. В. Из разысканий о литературных источниках в творчестве Пушкина // Пушкин в мировой литературе. Л., 1926. С. 138 и примеч. 5; Якубович Д. П. Заметка об «Анчаре» // ЛН. М., 1934. Т. 16–18. С. 869–876; Gustafson R. F. The Upas Tree Pushkin and Erasmus Darwin // Publications of the Modern Language Association of America. 1960. Vol. 75, № 1, March. P. 101–109; Vickery W. N. «Anchar» Beyond Good and Evil // Canadian-American Slavic Studies. 1976.Vol. 10, № 2. P. 175–188.	Акад. Т. 3, кн. 1. С. 133–134.		A11.txt	37	162
1	A12		«Аптеку позабудь ты для венков лавровых…»		«Аптеку позабудь ты для венков лавровых…»			1820	1820	19–24 августа 1820 г. по положению в тетради.	ПД 830, л. 6 об. (беловой).	нет	Мор. 1903–1906. Т. 1.	Волконская М. Н. Рассказ, записанный П. И. Бартеневым // П. в восп. 1974. Т. 1. С. 216; Новикова Е. В. «В состоянии эпиграммы»: (Пушкинская эпиграмма и французская традиция) // Пушкин и русская культура: (Работы молодых ученых). М., 1999. Вып. 2. С. 36–46; Рудыковский Е. П. Встреча с Пушкиным: (Из записок медика) // П. в восп. 1974. Т. 1. С. 211–213; Щербина В. Из семейного архива // Киевская старина. 1892. № 5. С. 193–206.	АПСС. Т. 2, кн. 2. С. 7.		A12.txt	2	13
1	A13		Арион		«Нас было много на челне…»			1827	1827	16 июля 1827 г. согласно помете в автографе.	В тетр. ПД 833, л. 37 (беловой, с правкой).	да	ЛГ. 1830. Т. 2, № 43, 30 июля.	Богомолов Н. А. «Арион» Попытка чтения // Пушкин и культура русского зарубежья: Международная научная конференция, посвященная 200-летию со дня рождения 1–3 июля 1999 г. М., 2000. С. 185–195; Глебов Г. С. Об «Арионе» // П. Врем. Т. 6. С. 296–304; Давыдов С. С. Между Аи и Бордо: Политические взгляды Пушкина // Записки русской академической группы в США. New York, 2000. Т. 30 (1999–2000): К 200-летию со дня рождения А. С. Пушкина. С. 176–187; Иезуитова Р. В. К истории декабристских замыслов Пушкина 1826–1827 гг. // ПИМ. Т. 11. С. 88–114; Колмогоров А. Н. Анализ ритмической структуры стихотворения А. С. Пушкина «Арион» // Проблемы теории стиха. Л., 1984. С. 118–124; Лейтон Л. Г. Пушкин и Гораций «Арион» // РЛ. 1999. № 2. С. 71–85; Мальчукова Т. Г. О горацианских реминисценциях в стихотворении А. С. Пушкина «Арион» // Horatiana Межвуз. сб. СПб., 1992. С. 198–210 (Philologia Classica / (СПбГУ. Вып. 4); Немировский И. В. Декабрист или сервилист? (Биографический контекст стихотворения «Арион») // Легенды и мифы о Пушкине. СПб., 1994. С. 168–184; Плетнев Р. В. О лирике А. С. Пушкина. Монреаль, 1963. С. 108–112; Пугачев В. В. Пушкин, Радищев и Карамзин. Саратов, 1992. С. 175–191; Смирнов А. А. Романтическая концепция «судьбы поэта» в стихотворении А. С. Пушкина «Арион» // Вестник Моск. ун-та. Сер. 9: Филология. 1987. № 3. С. 8–12; Старк В. П. Притча о сеятеле и тема поэта-пророка в лирике Пушкина // ПИМ. Т. 14. С. 60–61; Суздальский Ю. П. «Арион» Пушкина // Литература и мифология. Л., 1975. С. 3–21; Сумцов Н. Ф. Этюды об А. С. Пушкине. Варшава, 1894. Вып. 2. С. 38–45, 88; Томашевский Б. В. Пушкин и французская революционная ода: (Экушар Лебрен) // Изв. ОЛЯ. 1940. № 2. С. 33; Третьякова Е. Ю. Море в поэтической мифологии Пушкина // Поэтика русской литературы (Пушкинская эпоха. Серебряный век). Краснодар, 1999. С. 20–24; Фомичев С. А. Служенье муз: О лирике Пушкина. СПб., 2001. С. 13–19; Шкловский В. Б. Повести о прозе. М., 1966. Т. 2. С. 12–15; Mikkelson G. E. Puskin's «Arion» A Lone Survivor's Cry // Slavic and East European Journal. 1980. Vol. 24, № 1. P. 1–13; Vickery W. N. «Arion» An Example of Post-Decembrists Semantics // Alexandr Puskin A Simposium on the 175th Anniversary of his Birth. New York, 1976. P. 71–84.	Акад. Т. 3, кн. 1. С. 58.		A13.txt	15	70
1	A14		«Арист нам обещал трагедию такую…»		«Арист нам обещал трагедию такую…»			1814	1814	Сентябрем (не ранее 21-го) — октябрем (до 8-го) 1814 г. на основании подписи «1… 14–16», использованной Пушкиным при первой публикации эпиграммы (см. Цявловский. Статьи. С. 85–87) и по содержанию.	Неизвестен.	да	РМ. 1815. Ч. 1, № 1, с подписью «1… 14–16», под общим заглавием «Эпиграммы» со стихотворением «Супругою твоей я так пленился…»	Вацуро В. Э. Загадочная эпиграмма Пушкина // Русская речь. 1992. № 3. С. 12–17.	АПСС. Т. 1. С. 63.		A14.txt	8	40
1	A420		«Ах! боже мой, какую…»		«Ах! боже мой, какую…»	<На графа А. К. Разумовского>	A420	1814	1816			нет			АПСС. Т. 1. С. 293.		A420.txt	5	25
1	A15		<Е. П. Бакуниной>		«Напрасно воспевать мне ваши именины…»			1817	1819	22–24 ноября 1817, 1818 или 1819 г.	ПД 11 (беловой).	нет	Нива. 1913. № 43, 26 октября.	Лернер Н. О. Милая Бакунина // Лернер. Рассказы о П. С. 62–63.	АПСС. Т. 2, кн. 1. С. 80.		A15.txt	4	24
1	A502		<Баратынскому>		«О ты, который сочетал…»	«О ты, который сочетал…»	A502	1827	1827			нет			Акад. Т. 3, кн. 1. С. 85.		A502.txt	7	28
1	A16		<Баратынскому>		«Я жду обещанной тетради…»			1822	1822	1822 г., согласно Ст 1829, где помещено в отдел стихотворений 1822 г.	В тетр. ПД 832, л. 1 об. (черновой); в тетр. ПД 833, л. 25 об. (беловой, с поправками).	да	СЦ на 1826 г.	Бартенев. П. в южной России. С. 144; Госл. в 10 т. Т. 1. С. 583 (коммент. Т. Г. Цявловской).	АПСС. Т. 2, кн. 2. С. 68.		A16.txt	4	18
1	A17		Баратынскому из Бессарабии		«Сия пустынная страна…»			1822	1822	1822 г., согласно Ст 1829, где помещено в отдел стихотворений 1822 г.	В тетр. ПД 832, л. 1 об. (черновой); в тетр. ПД 833, л. 25 об. (беловой, с поправками).	да	СЦ на 1826 г.	Бартенев. П. в южной России. С. 144; Госл. в 10 т. Т. 1. С. 583 (коммент. Т. Г. Цявловской).	АПСС. Т. 2, кн. 2. С. 67.		A17.txt	12	49
1	A18		Батюшкову		«В пещерах Геликона…»			1815	1815	Началом апреля — маем 1815 г. по времени свидания Пушкина с Батюшковым и по времени первой публикации.	Неизвестен.	да	РМ. 1815. Ч. 2, № 6. С. 266–267, с подписью «Александр Нкшп».	АПСС. Т. 1. С. 612–613 (примеч.).	АПСС. Т. 1. С. 105.		A18.txt	32	107
1	A19		Безверие	Ранняя редакция стихотворения «Безверие»	«О вы, которые с язвительным упреком…»			1817	1817	1817 г., до начала марта; верхняя граница датировки определяется тем, что стихотворение отсутствует в составленном в начале января 1817 г. списке произведений, набросанном на рукописи «Пирующих студентов»; нижняя граница определяется по положению копии стихотворения в Лицейской тетради Пушкина.	В тетр. ПД 829, л. 27–28 (копия рукой неустановленного лица с поправками и пометами Пушкина).	да	Труды Московского общества любителей российской словесности. 1818. Ч. 10, кн. 16.	АПСС. Т. 1. С. 743–745 (примеч.); Гаевский. П. в Лицее. № 8. С. 376–377, 395; Непомнящий В. С. Пушкин Русская картина мира. М., 1999. С. 219–221; Нечкина М. В. К вопросу о формировании политического мировоззрения молодого Пушкина («Священная артель») // А. С. Пушкин 1799–1949: (Материалы юбилейных торжеств). М.; Л., 1951. С. 99–100; Чулков Г. Жизнь Пушкина. М., 1938. С. 57–58, 101.	АПСС. Т. 1. С. 255–257.		A19.txt	96	581
1	A19		Безверие	Поздняя редакция стихотворения «Безверие»	«О вы, которые с язвительным упреком…»			1817	1817	1817 г., до начала марта; верхняя граница датировки определяется тем, что стихотворение отсутствует в составленном в начале января 1817 г. списке произведений, набросанном на рукописи «Пирующих студентов»; нижняя граница определяется по положению копии стихотворения в Лицейской тетради Пушкина.	В тетр. ПД 829, л. 27–28 (копия рукой неустановленного лица с поправками и пометами Пушкина).	да	Труды Московского общества любителей российской словесности. 1818. Ч. 10, кн. 16.	АПСС. Т. 1. С. 743–745 (примеч.); Гаевский. П. в Лицее. № 8. С. 376–377, 395; Непомнящий В. С. Пушкин Русская картина мира. М., 1999. С. 219–221; Нечкина М. В. К вопросу о формировании политического мировоззрения молодого Пушкина («Священная артель») // А. С. Пушкин 1799–1949: (Материалы юбилейных торжеств). М.; Л., 1951. С. 99–100; Чулков Г. Жизнь Пушкина. М., 1938. С. 57–58, 101.	АПСС. Т. 1. С. 257–259.		A19_2.txt	80	485
1	A20		Бесы		«Мчатся тучи, вьются тучи…»			1830	1830	7 сентября 1830 г. согласно помете в автографе.	ПД 838, л. 88 (черновой набросок); ПД 841, л. 121 об. — 122 (черновой); ПД 125 (беловой, с поправками, переходящий в черновой); ПД 420, л. 42–43 об. (писарская копия с поправками Пушкина).	да	СЦ на 1832 г.	Анненков. Материалы. С. 307; Березкина С. В. Из комментариев к «тверским» стихотворениям Пушкина 1828–1829 гг. // Врем. ПК 25. С. 134; Бройтман С. Н. Субъектно-образная структура русской лирики XIX века в историческом освещении // Изв. АН СССР. Серия лит. и яз. 1991. Т. 50, № 3. С. 230–231; Викторович В. А., Живолупова Н. В. Литературная судьба «Бесов» (Пушкин и Достоевский) // Болдинские чтения. [1976]. Горький, 1977. С. 119–134; Гершензон М. О. Мудрость Пушкина. М., 1919. С. 131–133; Городецкий. С. 377–379; Грехнев В. А. Болдинская лирика Пушкина. Горький, 1977. С. 33–38, 40–59; Кошелев В. А. «Бесы разны…» // Кошелев В. А. Пушкин: История и предание. СПб., 2000. С. 195–237; Мейлах Б. С. Пушкин и русский романтизм. М.; Л., 1937. С. 246–254; Проскурин О. А. «Бесы» // Проскурин О. А. Поэзия Пушкина, или Подвижный палимпсест. М., 1999. С. 221–237; Пяткин С. Н. Символика «метели» в творчестве А. С. Пушкина 30-х годов // Болдинские чтения. [1994]. Н. Новгород, 1995. С. 120–129; Слинина Э. В. Стихотворение «Бесы» в контексте болдинской лирики 1830 года // Проблемы современного пушкиноведения. Псков, 1994. С. 94–102; Фомичев С. А. К творческой истории стихотворения Пушкина «Бесы» // Памяти Г. П. Макогоненко: Сб. статей, воспоминаний и документов. СПб., 2000. С. 50–56; Фортунатов Н. М. Эффект болдинской осени А. С. Пушкин Сентябрь — ноябрь 1830 г. Наблюдения и раздумья. Н. Новгород, 1999. С. 253–265.	Акад. Т. 3, кн. 1. С. 226–227.		A20.txt	56	211
1	A550.1	A550	Битва у Зеницы-Великой		«Радивой поднял желтое знамя…»	Песни западных славян	A550	1833	1834			да			Акад. Т. 3, кн. 1. С. 341–343.		A550.1.txt	48	221
1	A745		«Благословен твой подвиг новый…»		«Благословен твой подвиг новый…»	<Фазил-Хану>	A745	1829	1829			нет			Акад. Т. 3, кн. 1. С. 160.		A745.txt	10	37
1	A21		«Блажен в златом кругу вельмож…»		«Блажен в златом кругу вельмож…»			1827	1827	Предположительно августом — 10 октября 1827 г. по положению в тетради.	В тетр. ПД 836, л. 34 (черновой).	нет	РС. 1884. № 6.	Петрунина Н. Н. «Полководец» // Стих. П. 1820–1830 гг. С. 302; Роднянская И. Б. Стихотворение «Блажен в златом кругу вельмож…» — пропущенное звено в разговоре о назначении поэта // Московский пушкинист. VII. М., 2000. С. 28–37.	Акад. Т. 3, кн. 1. С. 75.		A21.txt	12	49
1	A224		«Блажен, кто в шуме городском…»		«Блажен, кто в шуме городском…»	<Из письма к князю П. А. Вяземскому>	A224	1816	1816			нет			АПСС. Т. 1. С. 172.		A224.txt	15	64
1	A22		Блаженство		«В роще сумрачной, тенистой…»			1814	1814	1814 г. по времени первой публикации (см. «Впервые»), не ранее апреля, когда Пушкин стал употреблять цифровой псевдоним «1… 14–16» (см. Цявловский. Статьи. С. 85–87), и не позднее сентября, когда стихотворение должно было быть послано в «Вестник Европы», соответствующий номер которого вышел в свет 21 октября.	Неизвестен.	да	ВЕ. 1814. Ч. 77, № 20, с подписью «1… 14–16».	АПСС. Т. 1. С. 595 (примеч.).	АПСС. Т. 1. С. 49–51.		A22.txt	88	352
1	A23		«Блестит луна, недвижно море спит…»		«Блестит луна, недвижно море спит…»			1825	1825	22 июля 1825 г. согласно помете в автографе.	ПД 75 (черновой).	нет	Анн. Т. 7.		АПСС. Т. 3, кн. 1. С. 128.		A23.txt	14	68
